BẢNG BIỂU DIỄN MỨC TIÊU THỤ / THÁNG CỦA GIA ĐÌNH,,,,,,,,,,,
,,,,,,,,,,,
Tháng,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG
1,239,238,234,228,255,180,296,350,158,242,242
2,229,226,227,222,245,173,291,343,152,235,"234,3"
3,239,244,232,237,253,173,313,373,151,246,"246,1"
4,274,271,264,282,274,187,362,435,156,278,"278,3"
5,332,314,312,341,310,202,432,516,169,327,"325,5"
6,380,345,350,390,338,223,482,578,182,371,"363,9"
7,394,360,364,409,352,236,509,605,190,385,"380,4"
8,375,348,350,390,338,223,482,578,182,371,"363,7"
9,339,321,319,348,312,204,438,521,168,334,"330,4"
10,283,285,274,297,277,188,370,450,160,288,"287,2"
11,260,252,236,241,252,174,313,387,151,247,"251,3"
12,232,240,236,232,254,178,299,359,157,243,243
